Ankle_cam_1_x,Ankle_cam_1_y,Ankle_cam_2_x,Ankle_cam_2_y,Base of Tail_cam_1_x,Base of Tail_cam_1_y,Base of Tail_cam_2_x,Base of Tail_cam_2_y,Base of bill_cam_1_x,Base of bill_cam_1_y,Base of bill_cam_2_x,Base of bill_cam_2_y,Breast_cam_1_x,Breast_cam_1_y,Breast_cam_2_x,Breast_cam_2_y,Heel_cam_1_x,Heel_cam_1_y,Heel_cam_2_x,Heel_cam_2_y,Shoulder_cam_1_x,Shoulder_cam_1_y,Shoulder_cam_2_x,Shoulder_cam_2_y,Tip of Bill_cam_1_x,Tip of Bill_cam_1_y,Tip of Bill_cam_2_x,Tip of Bill_cam_2_y,Tip of Tail_cam_1_x,Tip of Tail_cam_1_y,Tip of Tail_cam_2_x,Tip of Tail_cam_2_y,Tip of Wing_cam_1_x,Tip of Wing_cam_1_y,Tip of Wing_cam_2_x,Tip of Wing_cam_2_y,Toe_cam_1_x,Toe_cam_1_y,Toe_cam_2_x,Toe_cam_2_y
NaN,NaN,NaN,NaN,955.0578703703706,352.19764011799407,1689.4259259259256,482.7814569536424,NaN,NaN,1473.5694444444443,593.9451277199621,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,714.8958333333335,468.3480825958702,1453.8935185185182,592.1712393566698,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,949.2708333333335,349.7394296951819,1682.4814814814813,479.2336802270577,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,712.5810185185187,468.3480825958702,1449.2638888888887,589.2147587511826,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,942.326388888889,346.6666666666667,1677.8518518518517,475.0946073793756,727.627314814815,469.5771878072763,1464.8888888888887,592.7625354777673,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,706.2152777777779,464.04621435594885,1444.0555555555552,586.2582781456954,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,935.9606481481484,344.20845624385447,1669.171296296296,472.1381267738883,723.576388888889,467.73352999016714,1458.5231481481478,589.80605487228,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,859.5717592592595,424.10029498525074,NaN,NaN,702.164351851852,462.81710914454277,1437.6898148148146,583.8930936613056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,928.4375000000001,340.5211406096362,1663.9629629629626,467.9990539262062,720.1041666666667,466.50442477876106,1454.4722222222222,587.4408703878903,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,849.1550925925927,421.02753195673546,1576.5787037037035,558.4673604541155,696.9560185185187,459.74434611602754,1435.3749999999998,582.7105014191108,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,920.3356481481484,336.2192723697149,1655.2824074074072,463.2686849574267,716.6319444444446,464.04621435594885,1450.9999999999998,585.0756859035005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,836.4236111111113,416.1111111111111,1567.3194444444443,551.3718070009461,694.0625000000001,458.5152409046214,1432.4814814814813,582.7105014191108,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,913.3912037037038,331.30285152409044,1648.3379629629626,457.3557237464522,713.738425925926,463.43166175024584,1449.2638888888887,583.8930936613056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,827.1643518518521,409.96558505408063,1557.4814814814813,543.0936613055818,690.0115740740741,456.6715830875123,1430.1666666666665,581.5279091769157,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,905.2893518518521,326.38643067846607,1639.0787037037035,454.3992431409649,710.2662037037038,462.81710914454277,1445.7916666666665,583.3017975402081,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,819.0625000000001,403.8200589970501,1549.3796296296296,536.5894039735099,687.6967592592594,455.4424778761062,1426.6944444444443,580.9366130558184,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,899.502314814815,323.31366764995084,1632.1342592592591,450.8514664143803,705.6365740740742,459.74434611602754,1443.4768518518517,581.5279091769157,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,811.539351851852,396.44542772861354,1544.171296296296,528.9025543992432,685.3819444444446,457.28613569321533,1423.222222222222,579.162724692526,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,891.400462962963,320.24090462143556,1625.7685185185182,447.30368968779567,705.0578703703704,456.0570304818092,1440.0046296296293,577.9801324503311,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,804.5949074074075,390.91445427728615,1538.9629629629628,521.2157048249763,683.0671296296297,451.7551622418879,1419.7499999999998,575.0236518448439,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
