Base of Bill_x,Base of Bill_y,Base of Bill_z,Tip of Bill_x,Tip of Bill_y,Tip of Bill_z,Breast_x,Breast_y,Breast_z,Shoulder_x,Shoulder_y,Shoulder_z,Tip of Wing_x,Tip of Wing_y,Tip of Wing_z,Base of Tail_x,Base of Tail_y,Base of Tail_z,Tip of Tail_x,Tip of Tail_y,Tip of Tail_z,Ankle_x,Ankle_y,Ankle_z,Heel_x,Heel_y,Heel_z,Toe_x,Toe_y,Toe_z
-0.837686289,1.563406268,-1.22591088,-0.769252145,1.625996626,-1.220694481,NaN,NaN,NaN,-1.111495694,1.845698489,-1.148993624,NaN,NaN,NaN,-1.190637099,1.670327904,-0.959118528,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.78758548,1.551003049,-1.215636107,-0.717994203,1.595130344,-1.208522188,NaN,NaN,NaN,-1.031485756,1.785653236,-1.133439083,NaN,NaN,NaN,-1.151039521,1.623071541,-0.9479157,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.73376058,1.591455627,-1.198378156,-0.667978437,1.581877226,-1.201575783,NaN,NaN,NaN,-0.966265032,1.69341361,-1.123060171,NaN,NaN,NaN,-1.104622646,1.609413279,-0.957312978,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.683205721,1.507306746,-1.196654733,-0.611273412,1.567057475,-1.191735785,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.047970202,1.651148105,-0.94639322,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.62238459,1.474545731,-1.188315552,-0.553815318,1.534247085,-1.18652643,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.995489118,1.54416466,-0.950215357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.56676453,1.478138182,-1.177112603,-0.492141768,1.553357361,-1.167856034,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.939812594,1.548970619,-0.938884333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.503068489,1.513312959,-1.167139494,-0.438210657,1.521323165,-1.16574698,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.883129147,1.588909532,-0.931372132,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.440132081,1.496210917,-1.164272415,-0.36992164,1.60562764,-1.145736436,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.828878696,1.555869106,-0.932779066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.386016858,1.465672477,-1.152290095,-0.31685602,1.522985504,-1.144117695,NaN,NaN,NaN,-0.602767739,1.541336905,-1.08610523,NaN,NaN,NaN,-0.771946687,1.594999722,-0.922057799,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.321162518,1.482778471,-1.137169811,-0.249505687,1.48868237,-1.129668177,NaN,NaN,NaN,-0.542809549,1.406141288,-1.072552032,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.263864413,1.451426384,-1.125399308,-0.192146733,1.457553908,-1.11462893,NaN,NaN,NaN,-0.469100895,1.439376578,-1.056526458,NaN,NaN,NaN,-0.648960229,1.560762762,-0.919663134,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.204717802,1.453197807,-1.107957723,-0.129108014,1.441123369,-1.101977252,NaN,NaN,NaN,-0.393667956,1.573096359,-1.036086252,NaN,NaN,NaN,-0.588950726,1.544978964,-0.910133023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.140284769,1.403691304,-1.097877769,-0.066677243,1.44141118,-1.084781949,NaN,NaN,NaN,-0.337869982,1.507425305,-1.026938463,NaN,NaN,NaN,-0.528206503,1.511279119,-0.905337617,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.07735515,1.387626259,-1.085222724,-0.011639323,1.378797245,-1.075387353,NaN,NaN,NaN,-0.262354408,1.503660867,-1.017056664,NaN,NaN,NaN,-0.450263436,1.387513921,-0.911668092,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.012477561,1.403153828,-1.070231652,0.054254792,1.361167547,-1.06949604,NaN,NaN,NaN,-0.209665122,1.423026769,-1.015542438,NaN,NaN,NaN,-0.389755641,1.423225963,-0.898098509,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.049455281,1.402097128,-1.066166677,0.118446572,1.391752722,-1.056577202,NaN,NaN,NaN,-0.154630786,1.359430661,-1.012825453,NaN,NaN,NaN,-0.33425012,1.425687928,-0.890250542,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.111608101,1.401338951,-1.05557622,0.177755424,1.375577048,-1.050330694,NaN,NaN,NaN,-0.096606867,1.376886865,-1.003919827,NaN,NaN,NaN,-0.267944487,1.474596541,-0.882346179,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.175559939,1.352933933,-1.045492779,0.245078864,1.327167127,-1.033896239,NaN,NaN,NaN,-0.042041692,1.331671558,-0.986773045,NaN,NaN,NaN,-0.221581036,1.31332589,-0.890586988,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.238872475,1.414435735,-1.026866369,0.302709572,1.358028105,-1.023942977,NaN,NaN,NaN,0.019383384,1.347939638,-0.974834716,NaN,NaN,NaN,-0.162478696,1.380155322,-0.877706021,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.297881107,1.414031028,-1.012874306,0.363928202,1.387871811,-1.007686222,NaN,NaN,NaN,0.087235122,1.283135905,-0.966303291,NaN,NaN,NaN,-0.097384431,1.460465023,-0.867201501,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.35662699,1.429522485,-0.991110934,0.421022762,1.34186526,-0.997224325,NaN,NaN,NaN,0.155067979,1.296812167,-0.958074172,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.414030051,1.367094507,-0.988463387,0.474281652,1.31261014,-0.985324272,NaN,NaN,NaN,0.211187914,1.282745753,-0.945102651,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.46991492,1.351470116,-0.982083714,0.53332533,1.296354958,-0.979131806,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.528286092,1.365570448,-0.970197701,0.591920528,1.295129954,-0.971735447,NaN,NaN,NaN,0.314086063,1.316860674,-0.933331944,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.578760603,1.322194019,-0.956079667,0.654239854,1.29369184,-0.951511011,NaN,NaN,NaN,0.372615426,1.316036178,-0.929147101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.643381759,1.34916009,-0.940154323,0.713180421,1.292740593,-0.934368866,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.699504909,1.333946165,-0.92402928,0.771423196,1.305623703,-0.925829282,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.763878336,1.374835537,-0.906947998,0.823989801,1.306340723,-0.905057757,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.819349933,1.38872274,-0.88843687,0.888260381,1.361109309,-0.883581292,NaN,NaN,NaN,0.619531676,1.385703259,-0.858198627,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.872201606,1.373874934,-0.872163049,0.938665505,1.288885272,-0.878423705,NaN,NaN,NaN,0.666446629,1.34272545,-0.850515072,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.93043466,1.400364717,-0.859225498,0.994334361,1.287910186,-0.861170922,NaN,NaN,NaN,0.720786355,1.386405669,-0.83926291,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.986670356,1.354546882,-0.855397829,1.049512991,1.300621844,-0.849266054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.038802238,1.353380729,-0.8477524,1.10513817,1.269943182,-0.847453882,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.094976829,1.308404101,-0.840636202,1.157485073,1.254998568,-0.837734573,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.146749934,1.335762611,-0.827375569,1.209730118,1.254277567,-0.823594263,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.20182971,1.361694172,-0.814347808,1.261331782,1.295084962,-0.809206717,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.254148249,1.374554453,-0.795787666,1.310064863,1.322722641,-0.792541984,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
