Track 02_x,Track 02_y,Track 02_z,Track 03_x,Track 03_y,Track 03_z,Track 04_x,Track 04_y,Track 04_z,Track 05_x,Track 05_y,Track 05_z,Track 06_x,Track 06_y,Track 06_z,Track 07_x,Track 07_y,Track 07_z,Track 08_x,Track 08_y,Track 08_z,Track 1_x,Track 1_y,Track 1_z,Track 09_x,Track_09_y,Track_09_z,Track_10_x,Track_10_y,Track_10_z
0.842832729,-0.653761779,1.412819972,0.614401896,-0.697652684,1.287854168,NaN,NaN,NaN,0.427260702,-0.630091021,1.20422616,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.772882021,-0.664472456,1.414785719,NaN,NaN,NaN,NaN,NaN,NaN
0.915382605,-0.642192251,1.413810762,0.683467851,-0.663566485,1.282995768,NaN,NaN,NaN,0.494632803,-0.657126248,1.202245986,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.843331748,-0.688847127,1.413031451,NaN,NaN,NaN,NaN,NaN,NaN
0.985995023,-0.666375734,1.409241616,0.754660918,-0.676478513,1.281207019,NaN,NaN,NaN,0.553726233,-0.563265259,1.205316503,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.909029083,-0.701867312,1.410959314,NaN,NaN,NaN,NaN,NaN,NaN
1.050829067,-0.598774569,1.409543868,0.829489055,-0.643218079,1.268214648,0.751310855,-0.65101086,1.371244381,0.619967122,-0.601207981,1.208931615,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.976072039,-0.690728365,1.411656765,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0.895291198,-0.61011812,1.266038288,0.823170976,-0.618044343,1.360844955,0.69406034,-0.615283597,1.201659831,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0.970092471,-0.65744462,1.258872608,0.898324424,-0.700364636,1.35673983,0.761324201,-0.640062029,1.205307464,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,1.025192632,-0.582206322,1.24479747,0.968817407,-0.690855117,1.343538127,0.824672144,-0.608177114,1.197413502,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.893800364,-0.562926982,1.198288603,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.963400504,-0.598964728,1.196426999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.028414708,-0.532972868,1.191453347,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
