Track 10_cam_1_x,Track 10_cam_1_y,Track 10_cam_2_x,Track 10_cam_2_y,Track 1_cam_1_x,Track 1_cam_1_y,Track 1_cam_2_x,Track 1_cam_2_y,Track 2_cam_1_x,Track 2_cam_1_y,Track 2_cam_2_x,Track 2_cam_2_y,Track 3_cam_1_x,Track 3_cam_1_y,Track 3_cam_2_x,Track 3_cam_2_y,Track 4_cam_1_x,Track 4_cam_1_y,Track 4_cam_2_x,Track 4_cam_2_y,Track 5_cam_1_x,Track 5_cam_1_y,Track 5_cam_2_x,Track 5_cam_2_y,Track 6_cam_1_x,Track 6_cam_1_y,Track 6_cam_2_x,Track 6_cam_2_y,Track 7_cam_1_x,Track 7_cam_1_y,Track 7_cam_2_x,Track 7_cam_2_y,Track 8_cam_1_x,Track 8_cam_1_y,Track 8_cam_2_x,Track 8_cam_2_y,Track 9_cam_1_x,Track 9_cam_1_y,Track 9_cam_2_x,Track 9_cam_2_y
670.5,835.5,1326.733,732.16125,650.81323,833.4411,1309.576,730.9108,NaN,NaN,1383.9824,699.35803,735.9672,825.4555,1395.4462,726.18164,735.8426,837.0972,1378.4537,740.0051,799.5,763.79474,1452.801,665.6578,832.2932,750.2917,1484.2815,653.60144,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
666.91296,826.8664,1324.5796,725.97015,647.8523,826.4425,1306.0875,724.3214,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1363.7183,728.6186,794.6775,757.0432,1447.4427,660.9692,827.4707,745.4691,1479.5929,648.24304,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
664.0,821.5,1321.8878,720.5867,644.353,824.01996,1304.1495,718.5072,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,676.0432,824.55865,1332.9076,720.581,791.78394,756.0787,1442.7542,657.6202,822.64813,741.6111,1476.9137,645.56384,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,641.9304,818.6364,1302.2114,714.6311,712.61804,775.15814,NaN,NaN,NaN,NaN,NaN,NaN,650.96606,813.9491,1310.1345,713.21326,NaN,NaN,1438.0656,656.2806,819.75464,748.3627,1474.9043,648.91284,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,637.6236,814.5988,1298.3353,709.97974,705.9201,769.57654,1366.4733,668.03613,NaN,NaN,NaN,NaN,653.85956,809.1265,1304.1063,711.20386,NaN,NaN,1435.3864,654.27124,NaN,NaN,1472.8949,650.25244,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,634.66266,810.292,1296.0096,704.1655,699.2221,765.6694,1359.1086,663.38477,705.8264,796.6543,1360.6167,690.68243,649.03705,819.7361,1301.4271,705.1757,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
648.3075,806.3229,1310.2156,699.0335,630.96497,805.28754,1292.5211,699.51416,690.2915,760.64594,1352.9069,654.46967,697.7888,786.60736,1355.2583,683.9845,666.39813,829.38116,1323.5304,722.5904,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
643.6561,798.9582,1304.9816,690.9956,627.2077,801.81903,1287.8698,694.0876,685.26807,755.0643,1350.9688,648.2678,691.7607,781.24896,1349.9,677.2865,685.6883,841.91974,1346.9733,731.2977,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
637.5,792.5,1298.2522,683.7054,624.35187,794.1602,1281.2803,688.661,676.89557,750.599,1340.8907,645.16693,682.38354,775.8906,1342.5322,672.59796,701.12036,850.6003,1357.6901,740.0051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
630.86487,786.167,1291.5227,679.7799,NaN,NaN,1271.4613,680.1273,670.7558,748.36633,1332.3633,642.4536,677.69495,771.8718,1336.504,669.24896,715.58795,849.6358,1376.4443,746.03326,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
623.8879,782.29083,1283.6718,677.5368,610.2025,780.4002,NaN,NaN,666.29047,746.13367,1326.5491,642.84125,673.0064,767.1832,1329.1364,668.57916,732.9491,845.7778,1399.8872,745.36346,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
615.36035,779.96515,1275.4469,675.85443,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,667.648,763.1645,1325.1176,665.89996,745.4877,836.1327,1405.2456,729.2884,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
607.22046,779.18994,1265.5398,674.54596,NaN,NaN,1247.2355,676.98694,NaN,NaN,NaN,NaN,660.9501,762.4947,1319.7592,665.2302,747.4167,824.55865,1407.255,723.2602,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
