Ankle_cam_1_x,Ankle_cam_1_y,Ankle_cam_2_x,Ankle_cam_2_y,Base of Bill_cam_1_x,Base of Bill_cam_1_y,Base of Bill_cam_2_x,Base of Bill_cam_2_y,Base of Tail_cam_1_x,Base of Tail_cam_1_y,Base of Tail_cam_2_x,Base of Tail_cam_2_y,Breast_cam_1_x,Breast_cam_1_y,Breast_cam_2_x,Breast_cam_2_y,Heel_cam_1_x,Heel_cam_1_y,Heel_cam_2_x,Heel_cam_2_y,Shoulder_cam_1_x,Shoulder_cam_1_y,Shoulder_cam_2_x,Shoulder_cam_2_y,Tip of Bill_cam_1_x,Tip of Bill_cam_1_y,Tip of Bill_cam_2_x,Tip of Bill_cam_2_y,Tip of Tail_cam_1_x,Tip of Tail_cam_1_y,Tip of Tail_cam_2_x,Tip of Tail_cam_2_y,Tip of Wing_cam_1_x,Tip of Wing_cam_1_y,Tip of Wing_cam_2_x,Tip of Wing_cam_2_y,Toe_cam_1_x,Toe_cam_1_y,Toe_cam_2_x,Toe_cam_2_y
NaN,NaN,NaN,NaN,706.5972222222224,766.7944936086528,1572.074074074074,897.4219489120152,778.9351851851853,716.401179941003,1647.3055555555554,846.5704824976349,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,764.4675925925927,771.7109144542774,1627.0509259259256,905.108798486282,689.2361111111113,763.7217305801377,1554.1342592592591,892.1002838221382,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,694.4444444444446,766.1799410029498,1557.0277777777778,897.4219489120152,767.3611111111113,715.1720747295969,1634.574074074074,844.7965941343425,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,750.0000000000002,772.3254670599804,1614.3194444444443,905.108798486282,676.5046296296298,764.3362831858407,1539.6666666666665,891.5089877010407,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,679.976851851852,765.5653883972468,1543.7175925925926,895.6480605487228,752.8935185185187,712.0993117010817,1620.1064814814813,841.8401135288552,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,737.2685185185187,771.0963618485742,1600.4305555555554,903.9262062440871,664.351851851852,764.3362831858407,1525.199074074074,892.6915799432356,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,666.087962962963,764.9508357915438,1529.25,893.2828760643331,738.425925925926,709.0265486725664,1605.0601851851852,838.883632923368,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,726.851851851852,768.0235988200591,1588.2777777777776,903.3349101229896,651.0416666666667,761.8780727630285,1511.3101851851852,890.3263954588458,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,655.6712962962964,762.4926253687315,1514.7824074074074,892.6915799432356,726.851851851852,705.3392330383481,1591.75,835.9271523178809,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,717.0138888888889,765.5653883972468,1572.6527777777776,900.3784295175024,635.9953703703704,761.8780727630285,1496.2638888888887,890.3263954588458,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,641.2037037037038,761.8780727630285,1499.1574074074074,890.9176915799433,712.9629629629632,704.1101278269421,1579.0185185185182,835.3358561967834,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,703.1250000000001,759.4198623402164,1561.0787037037035,896.2393566698203,625.0000000000001,759.4198623402164,1483.5324074074074,888.5525070955534,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,627.8935185185186,761.2635201573255,1487.5833333333333,889.7350993377485,701.9675925925926,701.0373647984268,1565.1296296296296,835.3358561967834,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,691.5509259259261,756.3470993117012,1550.0833333333333,893.8741721854304,612.2685185185186,756.9616519174042,1467.9074074074074,886.7786187322612,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,614.5833333333334,759.4198623402164,1472.537037037037,888.5525070955534,689.2361111111113,697.9646017699115,1551.8194444444443,831.7880794701987,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,675.925925925926,755.1179941002949,1533.8796296296296,890.9176915799433,598.3796296296298,756.9616519174042,1455.7546296296296,884.4134342478714,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,600.1157407407409,756.9616519174042,1459.8055555555554,886.1873226111637,675.3472222222223,696.1209439528023,1537.3518518518517,828.8315988647115,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,660.300925925926,754.5034414945919,1515.3611111111109,886.7786187322612,583.9120370370372,754.5034414945919,1441.8657407407406,880.8656575212867,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,586.8055555555557,755.1179941002949,1445.3379629629628,882.6395458845791,662.6157407407409,694.8918387413962,1522.3055555555554,826.4664143803218,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,642.3611111111112,754.5034414945919,1500.3148148148148,882.6395458845791,571.7592592592594,750.8161258603736,1427.3981481481478,877.317880794702,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,573.4953703703704,751.4306784660766,1433.7638888888887,877.9091769157994,650.4629629629632,692.433628318584,1508.4166666666665,822.918637653737,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,627.8935185185186,751.4306784660766,1489.898148148148,877.9091769157994,556.1342592592594,746.5142576204523,1415.824074074074,871.4049195837276,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,561.9212962962964,747.7433628318583,1418.7175925925924,874.3614001892147,633.6805555555557,689.9754178957719,1495.1064814814813,817.5969725638599,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,541.6666666666667,744.6705998033432,1399.0416666666665,868.4484389782403,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,544.5601851851853,742.212389380531,1405.4074074074074,869.0397350993378,619.7916666666669,685.0589970501475,1480.060185185185,814.0491958372754,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,530.6712962962964,742.212389380531,1385.7314814814813,864.3093661305581,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,530.6712962962964,739.1396263520157,1388.6249999999998,864.3093661305581,607.638888888889,680.142576204523,1466.7499999999998,808.7275307473983,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,513.888888888889,736.0668633235005,1368.3703703703702,857.8051087984863,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,517.3611111111112,734.2232055063913,1372.421296296296,859.5789971617787,593.1712962962964,677.0698131760079,1452.2824074074074,803.4058656575213,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,497.6851851851853,730.5358898721731,1349.8518518518517,853.0747398297068,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,501.1574074074075,729.3067846607669,1355.060185185185,854.2573320719016,580.4398148148149,671.5388397246804,1436.6574074074072,797.4929044465468,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,561.9212962962964,734.8377581120944,1416.9814814814813,861.352885525071,481.4814814814816,726.2340216322517,1334.8055555555554,848.3443708609273,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,486.68981481481495,725.0049164208456,1341.171296296296,848.3443708609273,563.0787037037037,664.7787610619469,1421.6111111111109,789.8060548722801,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,547.4537037037038,731.1504424778761,1400.7777777777776,858.3964049195838,467.59259259259267,721.3176007866273,1319.7592592592591,844.205298013245,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,469.3287037037038,719.4739429695182,1326.125,843.0227057710501,550.9259259259261,658.0186823992133,1405.9861111111109,783.3017975402081,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,533.5648148148149,726.8485742379548,1386.310185185185,853.6660359508041,452.54629629629636,717.630285152409,1306.449074074074,837.7010406811731,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,454.8611111111112,713.3284169124877,1308.7638888888887,835.9271523178809,534.7222222222223,653.102261553589,1389.7824074074074,776.7975402081363,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,520.2546296296297,723.1612586037364,1371.8425925925924,847.1617786187323,436.9212962962964,709.6411012782694,1289.0879629629628,830.6054872280038,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
