Track 02_cam_1_x,Track 02_cam_1_y,Track 02_cam_2_x,Track 02_cam_2_y,Track 03_cam_1_x,Track 03_cam_1_y,Track 03_cam_2_x,Track 03_cam_2_y,Track 04_cam_1_x,Track 04_cam_1_y,Track 04_cam_2_x,Track 04_cam_2_y,Track 05_cam_1_x,Track 05_cam_1_y,Track 05_cam_2_x,Track 05_cam_2_y,Track 06_cam_1_x,Track 06_cam_1_y,Track 06_cam_2_x,Track 06_cam_2_y,Track 07_cam_1_x,Track 07_cam_1_y,Track 07_cam_2_x,Track 07_cam_2_y,Track 08_cam_1_x,Track 08_cam_1_y,Track 08_cam_2_x,Track 08_cam_2_y,Track 1_cam_1_x,Track 1_cam_1_y,Track 1_cam_2_x,Track 1_cam_2_y
572.0,666.9026548672566,1457.0,788.79848628193,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,713.0,595.7522123893806,1603.0,722.3841059602648,729.0,567.0796460176991,1618.0,693.774834437086,672.0,595.7522123893806,NaN,NaN,663.0,579.8230088495576,1554.0,701.9489120151371,595.0,669.0265486725664,1480.0,792.8855250709555
548.0,664.7787610619469,1431.0,787.7767265846736,633.0,637.1681415929204,1521.0,759.1674550614948,NaN,NaN,NaN,NaN,690.0,594.6902654867257,1576.0,722.3841059602648,703.0,566.0176991150443,1593.0,690.709555345317,646.0,595.7522123893806,NaN,NaN,639.0,576.637168141593,1527.0,699.9053926206244,573.0,667.9646017699115,1457.0,789.8202459791863
526.0,665.8407079646018,1409.0,786.7549668874171,611.0,636.1061946902655,1498.0,758.1456953642385,NaN,NaN,NaN,NaN,664.0,595.7522123893806,1553.0,720.3405865657521,680.0,563.8938053097346,1570.0,689.6877956480605,624.0,592.566371681416,1515.0,715.2317880794702,616.0,574.5132743362832,1504.0,695.8183538315989,548.0,666.9026548672566,1434.0,788.79848628193
501.0,664.7787610619469,1386.0,785.7332071901608,587.0,632.9203539823009,1473.0,756.1021759697256,616.0,664.7787610619469,1498.0,787.7767265846736,642.0,591.5044247787611,1526.0,717.2753074739829,656.0,562.8318584070796,1547.0,685.6007568590351,598.0,589.3805309734514,1490.0,715.2317880794702,590.0,571.3274336283185,1477.0,691.7313150425733,526.0,664.7787610619469,1409.0,787.7767265846736
477.0,664.7787610619469,1361.0,784.7114474929044,564.0,632.9203539823009,1450.0,754.0586565752129,593.0,662.6548672566372,1473.0,786.7549668874171,616.0,588.3185840707964,1502.0,713.1882686849574,633.0,562.8318584070796,1523.0,683.5572374645222,573.0,586.1946902654868,1465.0,708.0794701986755,563.0,569.2035398230089,1453.0,688.6660359508041,503.0,664.7787610619469,1386.0,785.7332071901608
455.0,662.6548672566372,1335.0,782.6679280983917,540.0,631.858407079646,1424.0,749.9716177861874,567.0,660.5309734513274,1453.0,784.7114474929044,592.0,586.1946902654868,1476.0,709.1012298959319,608.0,560.70796460177,1498.0,681.5137180700095,550.0,585.1327433628319,1438.0,705.0141911069063,536.0,568.141592920354,1425.0,686.6225165562914,479.0,664.7787610619469,1362.0,784.7114474929044
430.0,661.5929203539823,1312.0,780.6244087038789,515.0,627.6106194690266,1400.0,747.9280983916746,546.0,659.4690265486726,1429.0,782.6679280983917,569.0,583.0088495575221,1457.0,703.99243140965,586.0,559.6460176991151,1478.0,679.4701986754967,523.0,581.9469026548672,1410.0,703.99243140965,511.00000000000006,564.9557522123894,1398.0,683.5572374645222,457.0,663.716814159292,1337.0,781.6461684011352
408.0,660.5309734513274,1291.0,778.5808893093662,491.99999999999994,626.5486725663717,1375.0,743.841059602649,524.0,655.2212389380531,1404.0,775.515610217597,547.0,581.9469026548672,1433.0,702.9706717123936,566.0,559.6460176991151,1455.0,678.4484389782403,498.00000000000006,580.8849557522124,1388.0,700.9271523178808,486.0,563.8938053097346,1374.0,683.5572374645222,431.0,661.5929203539823,1312.0,780.6244087038789
383.0,659.4690265486726,1265.0,775.515610217597,465.0,624.424778761062,1350.0,740.7757805108799,497.0,652.0353982300885,1383.0,771.4285714285714,524.0,580.8849557522124,1410.0,699.9053926206244,545.0,560.70796460177,1435.0,679.4701986754967,472.0,579.8230088495576,1361.0,700.9271523178808,463.0,562.8318584070796,1349.0,681.5137180700095,408.0,660.5309734513274,1289.0,776.5373699148533
360.0,658.4070796460177,1241.0,774.4938505203406,442.0,621.2389380530974,1324.0,738.7322611163671,471.0,649.9115044247789,1357.0,770.4068117313151,498.00000000000006,580.8849557522124,1384.0,698.883632923368,524.0,563.8938053097346,1412.0,682.5354777672659,446.0,579.8230088495576,1338.0,696.8401135288552,436.0,561.7699115044247,1325.0,677.426679280984,384.0,659.4690265486726,1264.0,776.5373699148533
